loteria,concurso,data,acumulou,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20
lotomania,74,23/12/2000,False,11,13,17,24,28,40,41,42,43,46,48,49,53,57,61,71,87,92,96,99,13,48,53,99,11,96,57,71,92,17,42,28,40,24,49,87,41,61,46,43
lotomania,75,27/12/2000,True,01,11,15,26,27,37,38,39,48,57,59,64,73,76,78,85,87,94,95,98,98,64,87,78,15,73,37,85,01,95,94,76,48,26,59,57,11,27,38,39
lotomania,76,30/12/2000,True,00,06,07,10,18,22,29,30,31,48,50,52,55,56,61,67,68,80,86,96,00,22,61,80,96,31,30,07,67,48,29,56,10,55,68,50,06,52,86,18
lotomania,77,03/01/2001,True,00,02,05,07,16,27,28,31,32,38,41,49,56,76,80,83,85,89,91,98,56,98,38,83,31,85,80,28,00,02,89,16,41,76,05,07,32,27,91,49
lotomania,78,06/01/2001,True,07,21,24,29,33,36,41,45,46,53,63,67,71,72,81,83,84,86,87,94,83,87,94,72,71,86,33,29,84,41,24,81,21,46,07,53,45,36,63,67
lotomania,79,10/01/2001,True,02,03,04,07,09,15,20,26,30,37,38,43,47,51,55,67,77,85,86,87,30,20,51,85,15,26,86,09,87,37,07,02,67,43,47,77,04,03,55,38
lotomania,80,13/01/2001,False,00,06,12,17,20,22,30,36,41,42,50,55,77,81,86,88,91,93,95,98,00,91,20,50,88,22,06,17,41,86,42,81,55,93,30,77,98,36,12,95
lotomania,81,17/01/2001,False,14,16,23,30,33,39,43,47,52,63,65,67,68,74,83,86,87,92,94,97,16,83,92,39,23,97,67,14,65,74,68,87,30,63,86,94,52,43,47,33
lotomania,82,20/01/2001,True,01,06,14,21,22,42,47,48,49,52,53,59,62,64,69,79,85,88,90,93,64,14,48,42,79,06,53,62,69,52,22,21,85,01,93,90,59,47,49,88
lotomania,83,24/01/2001,False,00,04,11,13,30,37,40,43,44,45,50,51,61,65,71,74,76,79,83,85,30,83,71,13,45,44,37,40,76,74,51,11,65,04,85,50,79,00,61,43
lotomania,84,27/01/2001,False,02,03,04,08,11,12,16,19,22,25,42,45,50,55,57,65,68,81,88,95,19,45,65,16,95,68,88,57,11,22,42,03,81,25,04,08,50,12,55,02
lotomania,85,31/01/2001,False,02,04,07,10,13,23,25,30,31,36,44,45,47,51,58,60,63,71,84,92,92,63,31,60,45,47,84,23,25,71,58,02,04,13,44,07,30,51,36,10
lotomania,86,03/02/2001,True,01,14,19,24,26,33,38,42,45,47,51,59,60,61,64,71,87,96,98,99,87,01,26,42,71,96,33,45,19,38,51,61,60,98,24,64,99,47,59,14
lotomania,87,07/02/2001,True,06,15,17,24,30,42,43,47,51,53,54,59,67,83,85,87,93,96,98,99,17,24,87,15,47,53,43,83,51,96,54,59,99,42,85,93,30,98,67,06
lotomania,88,10/02/2001,True,11,17,23,28,30,33,41,45,46,47,51,57,60,66,76,77,84,86,94,95,76,95,30,46,77,84,66,47,51,17,86,94,45,60,33,57,41,11,28,23
lotomania,89,14/02/2001,True,01,11,17,25,33,41,44,48,50,56,59,60,63,64,67,68,76,83,86,88,17,59,67,86,83,48,44,68,50,64,88,60,63,41,01,11,76,33,25,56
lotomania,90,17/02/2001,False,17,20,24,25,26,31,32,34,37,52,55,57,62,66,73,80,88,92,93,94,57,93,34,55,62,52,66,92,20,37,32,17,73,80,24,26,31,25,94,88
lotomania,91,21/02/2001,True,00,08,14,22,23,25,26,27,31,34,35,36,55,58,64,66,67,81,85,91,81,25,64,23,22,67,85,34,55,91,14,08,36,27,31,26,35,66,58,00
lotomania,92,24/02/2001,False,05,13,21,27,29,35,42,48,51,55,58,60,61,62,63,70,86,89,90,92,70,60,58,86,61,05,90,51,27,55,29,48,13,62,42,21,92,63,35,89
lotomania,93,03/03/2001,False,01,07,14,19,20,28,34,43,49,52,53,54,69,74,77,81,82,84,90,94,81,20,82,94,69,74,01,53,77,28,19,49,90,43,34,07,84,14,52,54
lotomania,94,07/03/2001,True,07,13,14,21,23,26,37,42,46,47,54,59,60,67,72,83,84,88,90,94,67,46,14,88,54,60,84,72,42,59,83,94,37,26,47,90,23,07,21,13
lotomania,95,10/03/2001,True,01,16,20,23,27,41,44,48,53,55,57,69,72,79,84,85,86,87,91,94,69,91,86,94,23,72,85,27,16,57,87,44,84,01,79,55,41,20,53,48
lotomania,96,14/03/2001,True,03,06,09,15,18,19,22,24,32,42,51,62,64,65,70,73,75,86,94,95,15,95,51,42,06,09,03,64,86,70,65,62,22,18,94,32,24,73,19,75
lotomania,97,17/03/2001,False,01,05,08,16,31,34,38,39,43,44,45,49,50,51,55,57,63,85,92,97,57,39,38,55,97,44,16,92,51,01,45,05,34,49,08,85,31,43,50,63
lotomania,98,21/03/2001,True,02,18,26,27,38,39,45,46,51,55,63,64,68,70,72,73,76,84,89,96,63,76,68,27,55,73,38,89,18,46,72,26,70,51,39,45,64,96,02,84
lotomania,99,24/03/2001,True,02,04,06,10,16,26,28,32,34,38,39,42,53,62,69,82,89,90,92,97,69,92,10,42,34,82,04,32,89,26,16,62,02,06,97,28,53,90,39,38
lotomania,100,28/03/2001,True,02,06,07,11,12,21,27,28,38,48,51,56,58,60,66,67,77,90,91,95,95,28,11,12,56,27,21,02,77,67,07,38,06,90,51,58,60,48,91,66
lotomania,101,31/03/2001,True,01,02,03,05,12,16,19,20,27,30,33,39,49,51,59,68,74,80,82,83,16,12,20,05,80,82,33,49,68,02,83,30,01,51,74,03,19,59,27,39
lotomania,102,04/04/2001,False,04,09,11,13,21,24,35,47,48,57,62,64,70,72,76,85,89,91,94,95,57,48,70,72,13,35,47,09,11,62,64,94,89,76,91,24,95,85,21,04
lotomania,103,07/04/2001,False,05,24,25,26,29,30,32,35,45,58,61,72,77,85,86,91,92,95,97,99,45,35,97,85,92,25,26,61,91,99,77,32,95,58,05,29,24,72,86,30
lotomania,104,11/04/2001,True,07,10,17,20,23,31,33,35,37,41,44,49,50,53,64,65,68,70,71,85,41,65,35,71,37,07,33,20,53,50,44,17,10,23,85,49,68,64,31,70
lotomania,105,14/04/2001,True,00,01,02,03,04,09,10,15,23,25,28,34,41,48,54,72,76,86,87,93,93,15,54,23,00,10,04,86,34,01,28,02,87,25,76,09,03,48,72,41
lotomania,106,18/04/2001,True,01,09,10,12,15,20,21,25,29,40,55,68,72,75,77,78,82,87,88,97,72,09,15,97,21,01,75,55,82,88,29,78,12,87,77,25,40,20,68,10
lotomania,107,21/04/2001,True,06,13,18,22,26,30,33,34,36,38,40,45,53,54,61,62,64,69,75,91,40,54,13,45,26,38,61,33,64,91,06,53,75,30,62,69,22,18,36,34
lotomania,108,25/04/2001,True,01,09,18,25,28,32,35,41,43,44,48,53,59,61,62,67,85,86,90,97,01,25,85,90,86,44,67,41,59,97,48,35,32,18,61,62,09,28,53,43
lotomania,109,28/04/2001,True,00,01,06,13,16,19,20,29,39,40,49,50,65,77,79,80,89,92,94,98,80,16,00,77,92,98,13,89,06,19,29,01,50,79,94,49,65,39,20,40
lotomania,110,02/05/2001,True,01,13,16,21,22,23,30,35,39,53,61,62,63,65,66,67,72,75,81,92,75,72,66,30,62,35,21,39,67,92,61,65,23,13,16,63,53,01,81,22
lotomania,111,05/05/2001,True,07,18,25,30,32,41,44,52,56,58,59,61,71,72,79,82,86,88,96,98,25,96,30,44,32,18,58,07,82,71,41,79,86,98,61,52,56,59,72,88
lotomania,112,09/05/2001,True,00,09,10,15,18,24,37,47,51,57,58,60,61,63,67,74,78,88,94,97,57,10,94,74,24,60,00,09,67,61,63,78,37,15,47,97,58,18,51,88
lotomania,113,12/05/2001,False,04,11,13,17,27,31,32,34,36,37,38,41,52,71,81,83,84,87,88,91,11,34,36,84,37,27,71,81,31,83,52,13,88,41,32,87,91,17,38,04
lotomania,114,16/05/2001,False,01,07,11,13,17,25,27,29,32,44,48,49,50,71,74,76,80,88,90,91,80,74,25,44,71,48,32,01,88,17,50,76,49,27,07,29,91,90,13,11
lotomania,115,19/05/2001,True,02,09,10,17,19,23,26,30,31,32,38,39,40,47,56,63,72,84,88,92,17,26,19,63,09,31,72,10,84,47,39,32,40,30,88,92,38,02,23,56
