loteria,concurso,data,acumulou,b1,b2,b3,b4,b5,b6,o1,o2,o3,o4,o5,o6
megasena,2205,06/11/2019,False,12,21,28,37,42,57,21,42,12,57,37,28
megasena,2206,09/11/2019,True,06,27,38,42,45,57,42,38,45,06,27,57
megasena,2207,13/11/2019,True,06,10,11,43,53,55,43,11,06,55,53,10
megasena,2208,16/11/2019,True,16,25,30,40,45,49,30,45,16,49,25,40
megasena,2209,20/11/2019,True,22,25,28,32,33,47,32,22,47,28,33,25
megasena,2210,23/11/2019,True,11,17,24,25,33,34,11,33,34,25,24,17
megasena,2211,27/11/2019,True,27,36,40,41,44,54,27,44,36,54,41,40
megasena,2212,30/11/2019,True,23,26,51,52,53,58,51,58,53,52,26,23
megasena,2213,04/12/2019,False,05,07,10,32,46,60,07,05,10,60,32,46
megasena,2214,07/12/2019,True,04,10,18,30,34,47,18,30,04,10,34,47
megasena,2215,11/12/2019,True,01,19,21,23,33,43,21,23,43,01,19,33
megasena,2216,14/12/2019,True,10,24,42,43,48,49,24,42,48,10,43,49
megasena,2217,17/12/2019,True,10,14,16,30,32,36,16,32,36,30,14,10
megasena,2218,19/12/2019,False,06,16,22,38,48,52,16,06,38,22,52,48
megasena,2219,21/12/2019,True,08,28,36,45,57,59,57,59,45,08,28,36
megasena,2220,31/12/2019,False,03,35,38,40,57,58,38,58,35,03,40,57
megasena,2221,04/01/2020,True,05,23,34,45,56,57,23,34,45,57,05,56
megasena,2222,08/01/2020,True,13,14,29,30,48,59,14,48,30,29,59,13
megasena,2223,11/01/2020,True,02,26,40,42,49,56,49,26,02,56,40,42
megasena,2224,15/01/2020,True,16,23,32,50,52,58,23,50,58,32,52,16
megasena,2225,18/01/2020,True,01,32,37,44,46,47,01,37,47,44,46,32
megasena,2226,21/01/2020,True,02,04,07,16,30,38,02,07,38,30,04,16
megasena,2227,23/01/2020,True,06,09,12,27,32,57,09,06,27,32,12,57
megasena,2228,25/01/2020,True,09,19,23,32,39,45,19,45,39,09,23,32
megasena,2229,29/01/2020,True,06,11,29,40,41,58,06,41,40,29,58,11
megasena,2230,01/02/2020,True,07,17,26,39,56,60,39,17,56,60,26,07
megasena,2231,05/02/2020,True,04,13,25,40,53,57,04,13,53,40,25,57
megasena,2232,08/02/2020,True,07,08,31,34,38,47,31,34,38,47,07,08
megasena,2233,12/02/2020,True,04,06,32,35,41,45,45,35,06,41,04,32
megasena,2234,15/02/2020,True,04,21,27,29,42,47,47,29,42,04,27,21
megasena,2235,19/02/2020,True,14,18,30,35,55,57,14,55,35,30,18,57
megasena,2236,22/02/2020,True,07,20,38,43,45,53,07,53,43,20,45,38
megasena,2237,27/02/2020,False,11,20,27,28,53,60,60,27,28,20,53,11
megasena,2238,29/02/2020,True,11,36,45,55,57,58,57,36,11,58,55,45
megasena,2239,04/03/2020,True,07,27,31,39,45,46,27,39,07,31,46,45
megasena,2240,07/03/2020,False,07,09,10,19,25,58,25,09,07,10,58,19
megasena,2241,10/03/2020,True,01,13,18,26,40,56,56,18,26,13,01,40
megasena,2242,12/03/2020,True,05,09,18,24,25,42,24,42,18,05,25,09
megasena,2243,14/03/2020,True,14,18,28,35,38,54,14,38,28,18,35,54
megasena,2244,18/03/2020,False,03,05,11,34,37,42,11,05,42,03,34,37
megasena,2245,21/03/2020,False,11,14,15,18,33,34,33,11,14,34,15,18
megasena,2246,25/03/2020,True,05,09,24,27,33,46,09,33,46,24,27,05
megasena,2247,28/03/2020,True,01,42,44,47,48,53,42,53,47,01,44,48
megasena,2248,01/04/2020,False,09,15,20,29,30,42,20,09,42,29,30,15
megasena,2249,04/04/2020,True,04,09,31,47,49,53,04,49,09,31,47,53
megasena,2250,08/04/2020,True,27,33,39,52,57,58,39,52,27,57,58,33
megasena,2251,11/04/2020,True,05,15,22,26,54,58,58,22,26,15,54,05
megasena,2252,15/04/2020,True,01,17,30,37,46,50,46,50,01,17,37,30
megasena,2253,18/04/2020,True,31,32,33,39,52,55,32,39,55,33,52,31
megasena,2254,22/04/2020,True,04,09,24,44,47,56,47,04,24,44,56,09
megasena,2255,25/04/2020,True,15,20,39,41,49,57,20,15,57,49,39,41
megasena,2256,29/04/2020,True,09,10,30,37,47,54,09,37,30,10,54,47
megasena,2257,02/05/2020,True,18,21,30,31,34,51,18,30,21,31,34,51
megasena,2258,05/05/2020,True,01,05,07,14,23,26,26,07,01,23,14,05
megasena,2259,07/05/2020,True,20,27,41,54,56,58,54,56,58,20,27,41
megasena,2260,09/05/2020,True,12,14,34,35,37,47,37,12,14,34,35,47
megasena,2261,13/05/2020,True,07,23,26,27,29,51,23,26,51,27,29,07
megasena,2262,16/05/2020,False,07,08,14,23,30,46,07,30,46,23,08,14
megasena,2263,20/05/2020,True,09,24,33,43,49,57,43,49,57,33,09,24
megasena,2264,23/05/2020,True,02,03,08,19,29,37,29,19,08,02,37,03
megasena,2265,27/05/2020,True,14,20,23,39,46,50,50,20,46,23,14,39
megasena,2266,30/05/2020,True,10,23,31,37,58,59,23,37,59,10,58,31
megasena,2267,03/06/2020,False,20,32,33,48,49,53,48,49,53,20,32,33
megasena,2268,06/06/2020,True,04,13,23,28,30,52,04,30,52,23,13,28
megasena,2269,10/06/2020,True,01,11,14,23,29,55,55,14,23,29,11,01
megasena,2270,13/06/2020,True,14,16,38,39,41,48,41,16,48,14,38,39
megasena,2271,17/06/2020,True,06,10,27,28,41,52,06,10,41,52,27,28
megasena,2272,20/06/2020,True,02,05,11,24,41,49,05,41,11,49,24,02
megasena,2273,24/06/2020,False,15,16,20,38,40,58,58,15,20,16,38,40
megasena,2274,27/06/2020,True,08,11,17,33,40,55,08,55,40,11,33,17
megasena,2275,01/07/2020,True,02,04,25,36,50,53,25,50,02,53,04,36
megasena,2276,04/07/2020,True,05,15,18,27,49,57,49,27,05,18,57,15
megasena,2277,08/07/2020,True,10,22,23,37,53,60,23,10,53,60,22,37
megasena,2278,11/07/2020,True,08,17,34,37,43,45,34,17,37,43,08,45
megasena,2279,14/07/2020,False,05,12,14,20,27,28,28,12,20,05,27,14
megasena,2280,16/07/2020,True,28,29,31,50,58,59,50,28,58,29,59,31
megasena,2281,18/07/2020,True,14,27,35,40,50,55,35,40,14,55,50,27
megasena,2282,22/07/2020,False,12,27,30,36,45,52,30,52,12,27,36,45
megasena,2283,25/07/2020,True,04,24,37,43,59,60,24,04,37,43,59,60
megasena,2284,29/07/2020,True,04,10,12,14,36,46,46,36,12,10,04,14
megasena,2285,01/08/2020,False,01,07,10,12,33,42,12,10,33,07,42,01
megasena,2286,05/08/2020,True,09,21,30,41,42,43,42,43,41,09,21,30
megasena,2287,08/08/2020,True,02,04,06,29,41,56,29,04,02,41,06,56
megasena,2288,11/08/2020,True,02,26,35,39,40,56,35,39,02,26,56,40
megasena,2289,13/08/2020,True,06,09,34,37,38,45,06,34,37,38,45,09
megasena,2290,15/08/2020,True,05,18,36,44,57,60,60,36,05,57,44,18
megasena,2291,19/08/2020,True,12,26,31,36,37,49,37,31,26,12,36,49
megasena,2292,22/08/2020,True,06,16,18,33,42,57,18,57,06,33,42,16
megasena,2293,26/08/2020,True,01,02,10,37,42,48,01,48,42,10,02,37
megasena,2294,29/08/2020,True,09,15,20,33,41,43,09,43,20,41,33,15
megasena,2295,02/09/2020,True,06,13,26,28,35,41,28,06,41,26,35,13
megasena,2296,05/09/2020,False,01,06,21,29,36,59,29,06,36,59,21,01
megasena,2297,09/09/2020,True,20,22,35,40,41,59,20,22,41,59,35,40
megasena,2298,12/09/2020,True,13,17,21,31,41,49,13,21,49,41,17,31
megasena,2299,15/09/2020,True,02,03,19,40,44,60,03,40,19,60,02,44
megasena,2300,17/09/2020,True,09,21,37,39,43,54,37,39,21,09,54,43
megasena,2301,19/09/2020,True,17,18,35,36,47,52,18,36,47,52,35,17
megasena,2302,23/09/2020,True,18,22,25,27,43,44,44,43,25,18,27,22
megasena,2303,26/09/2020,True,03,07,17,20,48,50,17,50,48,20,03,07
megasena,2304,30/09/2020,True,12,21,29,54,56,57,12,54,57,21,29,56
megasena,2305,03/10/2020,True,07,16,22,38,55,57,57,55,38,07,16,22
megasena,2306,07/10/2020,False,03,19,28,33,57,58,28,58,19,03,57,33
megasena,2307,10/10/2020,True,16,33,38,46,53,55,38,53,46,55,33,16
megasena,2308,14/10/2020,False,09,13,26,38,58,60,26,09,58,38,60,13
megasena,2309,17/10/2020,True,09,11,29,30,33,60,33,60,11,29,09,30
megasena,2310,20/10/2020,True,13,17,28,29,42,53,13,42,17,28,53,29
megasena,2311,22/10/2020,True,03,05,09,35,43,60,60,09,35,43,05,03
megasena,2312,24/10/2020,True,03,27,39,46,47,60,60,39,03,46,47,27
megasena,2313,28/10/2020,True,03,20,26,45,49,58,45,03,58,26,20,49
megasena,2314,31/10/2020,False,06,07,28,42,45,49,28,06,07,42,45,49
megasena,2315,04/11/2020,True,01,10,17,26,30,53,10,17,01,26,30,53
megasena,2316,07/11/2020,True,02,11,43,49,52,56,49,11,56,43,52,02
megasena,2317,11/11/2020,True,03,08,30,33,35,48,35,48,30,33,03,08
megasena,2318,14/11/2020,True,28,44,52,54,58,60,54,58,52,28,44,60
megasena,2319,18/11/2020,True,06,17,25,35,40,49,17,25,06,35,49,40
megasena,2320,21/11/2020,False,06,30,35,39,42,48,30,06,35,48,39,42
megasena,2321,25/11/2020,False,14,25,28,41,43,46,41,43,25,28,14,46
megasena,2322,28/11/2020,True,02,05,10,29,34,41,05,10,02,29,34,41
megasena,2323,02/12/2020,True,20,27,35,39,50,59,35,27,39,20,50,59
megasena,2324,05/12/2020,True,02,16,19,31,43,60,31,02,43,19,60,16
megasena,2325,08/12/2020,True,33,34,37,46,52,60,33,37,60,34,46,52
megasena,2326,10/12/2020,True,10,16,27,34,36,57,27,36,34,16,57,10
megasena,2327,12/12/2020,True,30,37,45,54,57,58,54,45,30,57,37,58
megasena,2328,16/12/2020,True,08,11,14,39,48,53,11,08,39,14,48,53
megasena,2329,19/12/2020,False,12,14,28,42,45,55,42,28,45,14,12,55
megasena,2330,31/12/2020,False,17,20,22,35,41,42,22,35,17,41,20,42
megasena,2331,02/01/2021,True,11,13,16,36,53,57,53,16,11,57,13,36
megasena,2332,06/01/2021,True,12,33,35,36,44,52,12,33,44,52,35,36
megasena,2333,09/01/2021,True,09,16,31,41,53,55,41,53,55,09,16,31
megasena,2334,13/01/2021,False,04,13,20,22,25,60,22,04,20,25,13,60
megasena,2335,16/01/2021,True,09,18,23,42,47,49,18,42,49,47,09,23
megasena,2336,20/01/2021,True,08,10,20,27,28,50,20,27,50,08,10,28
megasena,2337,23/01/2021,False,02,09,34,49,51,55,02,51,49,09,34,55
megasena,2338,26/01/2021,True,08,21,23,34,42,47,21,08,34,47,42,23
megasena,2339,28/01/2021,True,04,18,29,47,48,59,04,48,59,29,47,18
megasena,2340,30/01/2021,True,16,21,28,41,49,51,49,41,16,51,28,21
