loteria,concurso,data,acumulou,b1,b2,b3,b4,b5,o1,o2,o3,o4,o5
quina,203,16/05/1996,False,03,13,17,47,60,03,13,17,47,60
quina,204,19/05/1996,False,07,11,21,51,58,07,11,21,51,58
quina,205,23/05/1996,False,04,09,31,40,58,04,09,31,40,58
quina,206,26/05/1996,False,01,10,36,62,64,01,10,36,62,64
quina,207,30/05/1996,False,05,07,12,16,66,05,07,12,16,66
quina,208,02/06/1996,False,03,24,48,52,71,03,24,48,52,71
quina,209,09/06/1996,False,26,37,61,67,71,26,37,61,67,71
quina,210,13/06/1996,False,10,14,32,53,61,10,14,32,53,61
quina,211,16/06/1996,False,03,11,19,31,39,03,11,19,31,39
quina,212,20/06/1996,False,38,46,50,65,69,38,46,50,65,69
quina,213,23/06/1996,False,05,13,14,34,63,05,13,14,34,63
quina,214,27/06/1996,False,10,19,24,34,72,10,19,24,34,72
quina,215,30/06/1996,False,37,46,49,62,73,37,46,49,62,73
quina,216,04/07/1996,True,31,32,34,54,59,31,32,34,54,59
quina,217,07/07/1996,False,08,41,56,65,74,08,41,56,65,74
quina,218,11/07/1996,False,17,26,31,33,63,17,26,31,33,63
quina,219,14/07/1996,False,03,19,32,59,63,03,19,32,59,63
quina,220,18/07/1996,False,19,35,38,39,78,19,35,38,39,78
quina,221,21/07/1996,False,45,69,72,77,79,45,69,72,77,79
quina,222,25/07/1996,False,03,24,27,58,69,03,24,27,58,69
quina,223,28/07/1996,False,10,21,43,64,68,10,21,43,64,68
quina,224,01/08/1996,False,18,41,58,62,73,18,41,58,62,73
quina,225,04/08/1996,False,16,34,37,42,70,16,34,37,42,70
quina,226,08/08/1996,False,17,24,50,56,66,17,24,50,56,66
quina,227,11/08/1996,False,19,23,32,38,61,19,23,32,38,61
quina,228,15/08/1996,False,12,23,50,52,55,12,23,50,52,55
quina,229,18/08/1996,False,07,60,62,67,74,07,60,62,67,74
quina,230,22/08/1996,False,14,27,41,68,78,14,27,41,68,78
quina,231,25/08/1996,False,03,28,41,58,75,03,28,41,58,75
quina,232,29/08/1996,True,27,34,35,42,62,27,34,35,42,62
quina,233,01/09/1996,False,49,55,56,68,71,49,55,56,68,71
quina,234,05/09/1996,False,27,29,34,64,73,27,29,34,64,73
quina,235,08/09/1996,False,17,27,35,54,76,17,27,35,54,76
quina,236,12/09/1996,False,14,26,51,55,64,14,26,51,55,64
quina,237,15/09/1996,False,14,26,36,37,69,14,26,36,37,69
quina,238,19/09/1996,True,25,27,55,61,69,25,27,55,61,69
quina,239,22/09/1996,False,17,60,67,74,75,17,60,67,74,75
quina,240,26/09/1996,True,30,35,49,51,69,30,35,49,51,69
quina,241,29/09/1996,False,02,16,32,63,67,02,16,32,63,67
quina,242,06/10/1996,False,22,34,36,42,62,22,34,36,42,62
quina,243,10/10/1996,False,02,04,55,60,65,02,04,55,60,65
quina,244,13/10/1996,False,05,08,31,32,41,05,08,31,32,41
quina,245,17/10/1996,False,16,25,27,28,69,16,25,27,28,69
quina,246,20/10/1996,False,22,61,63,66,80,22,61,63,66,80
quina,247,24/10/1996,False,03,05,22,30,60,03,05,22,30,60
quina,248,27/10/1996,False,05,50,56,60,62,05,50,56,60,62
quina,249,31/10/1996,False,09,50,63,67,76,09,50,63,67,76
quina,250,03/11/1996,True,43,51,75,79,80,43,51,75,79,80
quina,251,07/11/1996,True,20,37,46,61,74,20,37,46,61,74
quina,252,10/11/1996,False,08,14,43,65,76,08,14,43,65,76
quina,253,17/11/1996,False,07,21,54,62,77,07,21,54,62,77
quina,254,21/11/1996,False,21,38,52,60,66,21,38,52,60,66
quina,255,24/11/1996,True,11,46,55,75,78,11,46,55,75,78
quina,256,28/11/1996,False,04,06,18,40,74,04,06,18,40,74
quina,257,01/12/1996,True,24,26,37,48,71,24,26,37,48,71
quina,258,05/12/1996,False,03,35,39,63,69,03,35,39,63,69
quina,259,08/12/1996,False,06,21,22,52,74,06,21,22,52,74
quina,260,12/12/1996,False,16,19,21,23,32,16,19,21,23,32
quina,261,15/12/1996,True,02,10,29,33,54,02,10,29,33,54
quina,262,19/12/1996,False,13,61,65,67,79,13,61,65,67,79
quina,263,22/12/1996,False,32,63,66,76,77,32,63,66,76,77
quina,264,29/12/1996,False,23,25,29,52,55,23,25,29,52,55
quina,265,05/01/1997,False,26,37,39,66,71,26,37,39,66,71
quina,266,09/01/1997,False,21,28,51,65,69,21,28,51,65,69
quina,267,12/01/1997,False,08,27,44,66,75,08,27,44,66,75
quina,268,16/01/1997,False,39,51,57,75,76,39,51,57,75,76
quina,269,19/01/1997,True,07,22,23,50,76,07,22,23,50,76
quina,270,23/01/1997,False,14,21,33,34,45,14,21,33,34,45
quina,271,26/01/1997,False,03,11,24,54,65,03,11,24,54,65
quina,272,30/01/1997,True,03,14,22,32,41,03,14,22,32,41
quina,273,02/02/1997,False,13,15,25,39,44,13,15,25,39,44
quina,274,06/02/1997,False,15,52,55,62,79,15,52,55,62,79
quina,275,09/02/1997,False,13,22,29,68,72,13,22,29,68,72
quina,276,16/02/1997,False,13,17,23,49,71,13,17,23,49,71
quina,277,20/02/1997,False,26,32,38,68,72,26,32,38,68,72
quina,278,23/02/1997,False,05,10,21,51,58,51,21,58,10,05
quina,279,27/02/1997,False,02,20,39,53,60,02,20,39,53,60
quina,280,02/03/1997,False,16,18,46,56,80,16,18,46,56,80
quina,281,06/03/1997,False,23,41,46,53,71,23,41,46,53,71
quina,282,09/03/1997,False,20,48,50,75,76,20,48,50,75,76
quina,283,13/03/1997,False,25,46,52,61,74,25,46,52,61,74
quina,284,16/03/1997,False,09,23,56,64,73,09,23,56,64,73
quina,285,20/03/1997,False,07,13,37,56,64,07,13,37,56,64
quina,286,23/03/1997,False,02,18,64,67,77,02,18,64,67,77
quina,287,30/03/1997,False,11,28,60,61,71,61,60,71,28,11
quina,288,03/04/1997,False,02,13,27,78,80,02,13,27,78,80
quina,289,06/04/1997,False,04,69,70,72,80,04,69,70,72,80
quina,290,10/04/1997,True,05,06,55,70,73,05,06,55,70,73
quina,291,13/04/1997,False,05,34,45,49,58,05,34,45,49,58
quina,292,17/04/1997,False,04,42,67,74,75,04,42,67,74,75
quina,293,20/04/1997,False,04,41,49,55,80,04,41,49,55,80
quina,294,27/04/1997,False,17,20,43,68,74,17,20,43,68,74
quina,295,04/05/1997,False,10,20,29,65,76,10,20,29,65,76
quina,296,08/05/1997,False,01,21,50,55,68,01,21,50,55,68
quina,297,11/05/1997,False,25,52,53,58,78,25,52,53,58,78
quina,298,15/05/1997,False,06,17,31,40,66,06,17,31,40,66
quina,299,18/05/1997,False,11,25,29,52,53,11,25,29,52,53
quina,300,22/05/1997,False,08,19,20,28,34,08,19,20,28,34
quina,301,25/05/1997,True,44,46,53,59,65,44,46,53,59,65
quina,302,01/06/1997,True,07,30,51,52,69,07,30,51,52,69
quina,303,05/06/1997,False,28,48,50,64,71,28,48,50,64,71
quina,304,08/06/1997,False,03,22,42,71,79,03,22,42,71,79
quina,305,12/06/1997,False,06,16,31,36,53,06,16,31,36,53
quina,306,15/06/1997,False,09,28,34,40,42,09,28,34,40,42
quina,307,19/06/1997,True,10,27,29,61,66,10,27,29,61,66
quina,308,22/06/1997,False,13,14,16,21,69,13,14,16,21,69
quina,309,26/06/1997,False,16,26,37,40,62,16,26,37,40,62
quina,310,29/06/1997,False,01,14,49,71,74,01,14,49,71,74
quina,311,03/07/1997,False,29,46,53,63,68,29,46,53,63,68
quina,312,06/07/1997,False,06,29,36,44,68,06,29,36,44,68
quina,313,10/07/1997,False,28,30,54,67,74,28,30,54,67,74
quina,314,13/07/1997,False,07,10,18,57,74,07,10,18,57,74
quina,315,17/07/1997,False,12,19,33,44,67,12,19,33,44,67
quina,316,20/07/1997,True,27,28,50,65,76,27,28,50,65,76
quina,317,24/07/1997,False,02,08,36,45,64,02,08,36,45,64
quina,318,27/07/1997,False,22,26,34,39,40,22,26,34,39,40
quina,319,31/07/1997,False,01,21,33,39,48,01,21,33,39,48
quina,320,03/08/1997,False,03,04,07,14,39,03,04,07,14,39
quina,321,07/08/1997,False,18,21,23,54,74,18,21,23,54,74
quina,322,10/08/1997,False,10,25,33,43,68,10,25,33,43,68
quina,323,14/08/1997,False,32,34,52,68,73,32,34,52,68,73
quina,324,17/08/1997,False,42,56,61,76,79,42,56,61,76,79
quina,325,21/08/1997,False,02,07,09,27,59,02,07,09,27,59
quina,326,24/08/1997,False,05,06,12,50,61,05,06,12,50,61
quina,327,28/08/1997,False,03,10,35,47,59,03,10,35,47,59
quina,328,31/08/1997,False,17,23,52,70,71,17,23,52,70,71
quina,329,04/09/1997,False,07,12,36,39,50,07,12,36,39,50
quina,330,07/09/1997,False,06,07,09,36,45,06,07,09,36,45
quina,331,11/09/1997,False,53,57,62,70,78,53,57,62,70,78
quina,332,14/09/1997,False,24,25,34,50,65,24,25,34,50,65
quina,333,19/09/1997,False,01,03,18,46,64,01,03,18,46,64
quina,334,21/09/1997,True,15,20,23,78,79,15,20,23,78,79
quina,335,25/09/1997,False,09,16,20,34,53,09,16,20,34,53
quina,336,28/09/1997,False,42,54,55,70,74,42,54,55,70,74
quina,337,02/10/1997,False,01,20,40,42,75,01,20,40,42,75
quina,338,05/10/1997,False,03,07,10,23,43,03,07,10,23,43
quina,339,09/10/1997,False,02,03,45,49,60,02,03,45,49,60
quina,340,12/10/1997,False,04,06,35,64,65,04,06,35,64,65
quina,341,16/10/1997,False,27,32,54,57,80,27,32,54,57,80
quina,342,19/10/1997,False,01,09,51,59,74,01,09,51,59,74
quina,343,23/10/1997,False,13,16,18,21,36,13,16,18,21,36
quina,344,26/10/1997,True,04,27,44,61,71,04,27,44,61,71
quina,345,30/10/1997,False,21,22,40,51,74,21,22,40,51,74
quina,346,02/11/1997,False,14,35,53,64,77,14,35,53,64,77
quina,347,06/11/1997,False,16,25,27,33,74,16,25,27,33,74
quina,348,09/11/1997,False,14,22,24,59,72,14,22,24,59,72
quina,349,13/11/1997,False,15,23,25,29,71,15,23,25,29,71
quina,350,16/11/1997,False,06,18,42,56,72,06,18,42,56,72
quina,351,20/11/1997,True,12,36,38,50,53,12,36,38,50,53
quina,352,23/11/1997,False,02,28,51,53,77,02,28,51,53,77
quina,353,27/11/1997,True,01,21,46,56,79,01,21,46,56,79
quina,354,30/11/1997,False,03,16,32,37,50,16,37,03,32,50
quina,355,04/12/1997,True,08,22,48,59,76,08,22,48,59,76
quina,356,07/12/1997,False,18,35,37,50,54,18,54,35,50,37
quina,357,11/12/1997,False,03,33,44,77,78,78,03,33,77,44
quina,358,14/12/1997,False,11,29,42,63,72,29,42,11,72,63
quina,359,18/12/1997,False,12,33,51,60,80,51,12,33,60,80
quina,360,21/12/1997,False,11,46,49,60,71,11,49,46,60,71
quina,361,28/12/1997,False,20,40,59,68,80,40,68,80,20,59
quina,362,04/01/1998,False,17,50,69,73,76,69,17,73,50,76
quina,363,08/01/1998,False,17,31,51,60,74,74,60,17,31,51
quina,364,11/01/1998,False,03,25,30,32,62,32,25,62,30,03
quina,365,15/01/1998,False,10,31,37,61,74,31,74,10,61,37
quina,366,18/01/1998,False,07,10,32,54,59,07,59,32,10,54
quina,367,22/01/1998,True,41,58,61,66,80,41,58,61,66,80
quina,368,25/01/1998,False,06,11,43,46,58,46,58,43,11,06
quina,369,29/01/1998,False,06,28,32,51,80,80,51,06,28,32
quina,370,01/02/1998,False,12,14,26,27,75,26,14,75,27,12
quina,371,05/02/1998,False,09,30,38,56,76,30,76,56,38,09
quina,372,08/02/1998,True,01,12,49,55,76,55,12,76,49,01
quina,373,12/02/1998,True,16,26,36,41,78,78,16,36,26,41
quina,374,15/02/1998,False,27,44,45,56,71,56,71,27,45,44
quina,375,19/02/1998,False,02,12,14,16,29,29,16,02,12,14
quina,376,22/02/1998,False,01,17,47,68,71,47,68,01,71,17
quina,377,01/03/1998,False,04,19,48,76,80,76,80,04,19,48
quina,378,05/03/1998,True,05,16,34,40,73,16,05,40,34,73
quina,379,08/03/1998,False,11,29,36,38,67,11,29,36,38,67
quina,380,12/03/1997,False,01,07,28,48,73,48,28,01,07,73
quina,381,15/03/1998,False,07,15,45,53,66,66,53,07,15,45
quina,382,19/03/1998,False,04,17,19,51,62,17,04,62,19,51
quina,383,22/03/1998,False,01,02,04,06,28,02,28,06,04,01
quina,384,26/03/1998,False,36,50,55,58,75,58,50,36,75,55
quina,385,29/03/1998,False,18,29,35,63,68,18,35,63,68,29
quina,386,31/03/1998,False,15,17,18,25,44,44,17,18,25,15
quina,387,02/04/1998,False,26,32,45,62,77,62,26,32,77,45
quina,388,04/04/1998,False,17,36,67,69,77,77,69,17,36,67
quina,389,07/04/1998,False,25,38,57,69,78,69,78,57,25,38
quina,390,11/04/1998,False,19,30,35,48,76,35,30,76,48,19
quina,391,14/04/1998,False,20,43,47,62,74,74,62,20,47,43
quina,392,16/04/1998,False,11,17,26,48,56,56,11,17,48,26
quina,393,18/04/1998,False,17,37,53,71,76,53,71,37,76,17
quina,394,23/04/1998,False,01,06,38,65,70,01,06,70,65,38
quina,395,25/04/1998,False,31,34,36,58,62,31,58,34,36,62
quina,396,28/04/1998,False,21,23,37,69,73,73,37,23,69,21
quina,397,30/04/1998,True,27,38,48,58,75,48,27,75,38,58
quina,398,02/05/1998,False,11,12,17,57,74,11,74,17,12,57
quina,399,05/05/1998,False,09,27,38,48,57,09,38,57,27,48
quina,400,07/05/1998,False,56,59,65,70,71,65,70,59,56,71
quina,401,09/05/1998,False,01,07,09,39,80,01,80,07,39,09
quina,402,12/05/1998,False,38,57,66,72,77,77,66,57,72,38
quina,403,14/05/1998,False,01,14,42,44,56,42,56,44,01,14
quina,404,16/05/1998,False,04,08,52,59,67,67,04,52,08,59
quina,405,19/05/1998,False,05,19,43,77,80,77,05,80,43,19
